Gene	Description	GeneSeurat	GeneDescription	Chromosome	PosStart	PosEnd	Strand	GeneDescription2
PBANKA_0602400	major facilitator superfamily domain-containing protein, putative	PBANKA-0602400	PBANKA_0602400 - major facilitator superfamily domain-containing protein, putative	PbANKA_06_v3	164121	167192	+	major facilitator superfamily domain-containing protein, putative - PBANKA_0602400
PBANKA_0417700	alpha tubulin 1	PBANKA-0417700	PBANKA_0417700 - alpha tubulin 1	PbANKA_04_v3	663999	666052	-	alpha tubulin 1 - PBANKA_0417700
PBANKA_1209100	dolichyl-phosphate-mannose--protein mannosyltransferase, putative	PBANKA-1209100	PBANKA_1209100 - dolichyl-phosphate-mannose--protein mannosyltransferase, putative	PbANKA_12_v3	351411	352936	+	dolichyl-phosphate-mannose--protein mannosyltransferase, putative - PBANKA_1209100
PBANKA_1113200	mitochondrial import inner membrane translocase subunit TIM16, putative	PBANKA-1113200	PBANKA_1113200 - mitochondrial import inner membrane translocase subunit TIM16, putative	PbANKA_11_v3	516071	516787	+	mitochondrial import inner membrane translocase subunit TIM16, putative - PBANKA_1113200
PBANKA_0103400	glyoxalase I-like protein GILP, putative	PBANKA-0103400	PBANKA_0103400 - glyoxalase I-like protein GILP, putative	PbANKA_01_v3	155566	157169	-	glyoxalase I-like protein GILP, putative - PBANKA_0103400
PBANKA_0404500	conserved Plasmodium protein, unknown function	PBANKA-0404500	PBANKA_0404500 - conserved Plasmodium protein, unknown function	PbANKA_04_v3	173316	174535	-	conserved Plasmodium protein, unknown function - PBANKA_0404500
PBANKA_1120400	inner membrane complex protein 1j, putative	PBANKA-1120400	PBANKA_1120400 - inner membrane complex protein 1j, putative	PbANKA_11_v3	760422	762293	+	inner membrane complex protein 1j, putative - PBANKA_1120400
PBANKA_0711900	heat shock protein 70	PBANKA-0711900	PBANKA_0711900 - heat shock protein 70	PbANKA_07_v3	454582	456663	-	heat shock protein 70 - PBANKA_0711900
PBANKA_1218800	ABC transporter I family member 1, putative	PBANKA-1218800	PBANKA_1218800 - ABC transporter I family member 1, putative	PbANKA_12_v3	719427	728028	-	ABC transporter I family member 1, putative - PBANKA_1218800
PBANKA_1028400	60S ribosomal protein L10, putative	PBANKA-1028400	PBANKA_1028400 - 60S ribosomal protein L10, putative	PbANKA_10_v3	1159709	1160368	-	60S ribosomal protein L10, putative - PBANKA_1028400
PBANKA_0602200	signal recognition particle subunit SRP14, putative	PBANKA-0602200	PBANKA_0602200 - signal recognition particle subunit SRP14, putative	PbANKA_06_v3	159485	159934	+	signal recognition particle subunit SRP14, putative - PBANKA_0602200
PBANKA_0714700	phosphopantothenoylcysteine decarboxylase, putative	PBANKA-0714700	PBANKA_0714700 - phosphopantothenoylcysteine decarboxylase, putative	PbANKA_07_v3	552326	553213	-	phosphopantothenoylcysteine decarboxylase, putative - PBANKA_0714700
PBANKA_1412400	conserved protein, unknown function	PBANKA-1412400	PBANKA_1412400 - conserved protein, unknown function	PbANKA_14_v3	525219	528818	+	conserved protein, unknown function - PBANKA_1412400
PBANKA_1306700	conserved Plasmodium protein, unknown function	PBANKA-1306700	PBANKA_1306700 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	329646	330893	-	conserved Plasmodium protein, unknown function - PBANKA_1306700
PBANKA_0704300	SPRY domain, putative	PBANKA-0704300	PBANKA_0704300 - SPRY domain, putative	PbANKA_07_v3	197195	198319	-	SPRY domain, putative - PBANKA_0704300
PBANKA_0942700	chromatin remodeling protein, putative	PBANKA-0942700	PBANKA_0942700 - chromatin remodeling protein, putative	PbANKA_09_v3	1541635	1546060	+	chromatin remodeling protein, putative - PBANKA_0942700
PBANKA_1028800	DnaJ protein, putative	PBANKA-1028800	PBANKA_1028800 - DnaJ protein, putative	PbANKA_10_v3	1174112	1175600	-	DnaJ protein, putative - PBANKA_1028800
PBANKA_1244800	conserved Plasmodium protein, unknown function	PBANKA-1244800	PBANKA_1244800 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	1686166	1690785	-	conserved Plasmodium protein, unknown function - PBANKA_1244800
PBANKA_1401700	SNARE protein, putative	PBANKA-1401700	PBANKA_1401700 - SNARE protein, putative	PbANKA_14_v3	117851	119119	-	SNARE protein, putative - PBANKA_1401700
PBANKA_0830300	conserved protein, unknown function	PBANKA-0830300	PBANKA_0830300 - conserved protein, unknown function	PbANKA_08_v3	1150275	1151268	-	conserved protein, unknown function - PBANKA_0830300
PBANKA_1221500	50S ribosomal protein L1, mitochondrial, putative	PBANKA-1221500	PBANKA_1221500 - 50S ribosomal protein L1, mitochondrial, putative	PbANKA_12_v3	825302	826402	+	50S ribosomal protein L1, mitochondrial, putative - PBANKA_1221500
PBANKA_0614800	conserved Plasmodium protein, unknown function	PBANKA-0614800	PBANKA_0614800 - conserved Plasmodium protein, unknown function	PbANKA_06_v3	620075	622744	+	conserved Plasmodium protein, unknown function - PBANKA_0614800
PBANKA_1022600	pantothenate kinase 1, putative	PBANKA-1022600	PBANKA_1022600 - pantothenate kinase 1, putative	PbANKA_10_v3	907721	909872	+	pantothenate kinase 1, putative - PBANKA_1022600
PBANKA_0207600	asparagine-rich antigen, putative	PBANKA-0207600	PBANKA_0207600 - asparagine-rich antigen, putative	PbANKA_02_v3	260565	267122	-	asparagine-rich antigen, putative - PBANKA_0207600
PBANKA_0213200	conserved Plasmodium protein, unknown function	PBANKA-0213200	PBANKA_0213200 - conserved Plasmodium protein, unknown function	PbANKA_02_v3	487985	495028	+	conserved Plasmodium protein, unknown function - PBANKA_0213200
PBANKA_1109500	conserved protein, unknown function	PBANKA-1109500	PBANKA_1109500 - conserved protein, unknown function	PbANKA_11_v3	373907	374911	+	conserved protein, unknown function - PBANKA_1109500
PBANKA_0413800	microneme associated antigen, putative	PBANKA-0413800	PBANKA_0413800 - microneme associated antigen, putative	PbANKA_04_v3	491571	492491	-	microneme associated antigen, putative - PBANKA_0413800
PBANKA_1302900	copper transporter, putative	PBANKA-1302900	PBANKA_1302900 - copper transporter, putative	PbANKA_13_v3	170648	171713	+	copper transporter, putative - PBANKA_1302900
PBANKA_0918400	conserved Plasmodium protein, unknown function	PBANKA-0918400	PBANKA_0918400 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	687740	688573	-	conserved Plasmodium protein, unknown function - PBANKA_0918400
PBANKA_0406900	conserved protein, unknown function	PBANKA-0406900	PBANKA_0406900 - conserved protein, unknown function	PbANKA_04_v3	252482	254165	+	conserved protein, unknown function - PBANKA_0406900
PBANKA_0707800	U5 small nuclear ribonucleoprotein 40 kDa protein, putative	PBANKA-0707800	PBANKA_0707800 - U5 small nuclear ribonucleoprotein 40 kDa protein, putative	PbANKA_07_v3	324552	325520	-	U5 small nuclear ribonucleoprotein 40 kDa protein, putative - PBANKA_0707800
PBANKA_0939900	U6 snRNA-associated Sm-like protein LSm4, putative	PBANKA-0939900	PBANKA_0939900 - U6 snRNA-associated Sm-like protein LSm4, putative	PbANKA_09_v3	1450437	1451340	-	U6 snRNA-associated Sm-like protein LSm4, putative - PBANKA_0939900
PBANKA_1241000	ADP-ribosylation factor GTPase-activating protein, putative	PBANKA-1241000	PBANKA_1241000 - ADP-ribosylation factor GTPase-activating protein, putative	PbANKA_12_v3	1563630	1565817	-	ADP-ribosylation factor GTPase-activating protein, putative - PBANKA_1241000
PBANKA_0408500	parasite-infected erythrocyte surface protein	PBANKA-0408500	PBANKA_0408500 - parasite-infected erythrocyte surface protein	PbANKA_04_v3	316756	319725	+	parasite-infected erythrocyte surface protein - PBANKA_0408500
PBANKA_1312000	condensin-2 complex subunit G2, putative	PBANKA-1312000	PBANKA_1312000 - condensin-2 complex subunit G2, putative	PbANKA_13_v3	524616	529776	-	condensin-2 complex subunit G2, putative - PBANKA_1312000
PBANKA_1133500	glutamate--tRNA ligase	PBANKA-1133500	PBANKA_1133500 - glutamate--tRNA ligase	PbANKA_11_v3	1258407	1260964	+	glutamate--tRNA ligase - PBANKA_1133500
PBANKA_1313600	conserved protein, unknown function	PBANKA-1313600	PBANKA_1313600 - conserved protein, unknown function	PbANKA_13_v3	582713	583726	-	conserved protein, unknown function - PBANKA_1313600
PBANKA_1300096	fam-b protein	PBANKA-1300096	PBANKA_1300096 - fam-b protein	PbANKA_13_v3	32629	33559	-	fam-b protein - PBANKA_1300096
PBANKA_0612500	mediator of RNA polymerase II transcription subunit 8, putative	PBANKA-0612500	PBANKA_0612500 - mediator of RNA polymerase II transcription subunit 8, putative	PbANKA_06_v3	538973	539572	-	mediator of RNA polymerase II transcription subunit 8, putative - PBANKA_0612500
PBANKA_1403900	AAR2 protein, putative	PBANKA-1403900	PBANKA_1403900 - AAR2 protein, putative	PbANKA_14_v3	224777	226621	-	AAR2 protein, putative - PBANKA_1403900
PBANKA_0108300	palmitoyltransferase DHHC2	PBANKA-0108300	PBANKA_0108300 - palmitoyltransferase DHHC2	PbANKA_01_v3	343077	344303	-	palmitoyltransferase DHHC2 - PBANKA_0108300
PBANKA_1416200	conserved Plasmodium protein, unknown function	PBANKA-1416200	PBANKA_1416200 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	651659	652138	-	conserved Plasmodium protein, unknown function - PBANKA_1416200
PBANKA_1456600	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5, putative	PBANKA-1456600	PBANKA_1456600 - dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5, putative	PbANKA_14_v3	2174487	2174738	+	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5, putative - PBANKA_1456600
PBANKA_1402800	conserved Plasmodium protein, unknown function	PBANKA-1402800	PBANKA_1402800 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	180741	181292	+	conserved Plasmodium protein, unknown function - PBANKA_1402800
PBANKA_1415300	protein transport protein SEC20, putative	PBANKA-1415300	PBANKA_1415300 - protein transport protein SEC20, putative	PbANKA_14_v3	613535	615254	-	protein transport protein SEC20, putative - PBANKA_1415300
PBANKA_1327500	conserved Plasmodium protein, unknown function	PBANKA-1327500	PBANKA_1327500 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	1100149	1102680	+	conserved Plasmodium protein, unknown function - PBANKA_1327500
PBANKA_1322500	DNA-directed RNA polymerase III subunit RPC5, putative	PBANKA-1322500	PBANKA_1322500 - DNA-directed RNA polymerase III subunit RPC5, putative	PbANKA_13_v3	926706	928925	-	DNA-directed RNA polymerase III subunit RPC5, putative - PBANKA_1322500
PBANKA_1019300	enoyl-CoA hydratase, putative	PBANKA-1019300	PBANKA_1019300 - enoyl-CoA hydratase, putative	PbANKA_10_v3	802186	803430	+	enoyl-CoA hydratase, putative - PBANKA_1019300
PBANKA_0614700	conserved Plasmodium membrane protein, unknown function	PBANKA-0614700	PBANKA_0614700 - conserved Plasmodium membrane protein, unknown function	PbANKA_06_v3	617102	619367	+	conserved Plasmodium membrane protein, unknown function - PBANKA_0614700
PBANKA_1340100	L-lactate dehydrogenase	PBANKA-1340100	PBANKA_1340100 - L-lactate dehydrogenase	PbANKA_13_v3	1573731	1574681	+	L-lactate dehydrogenase - PBANKA_1340100
PBANKA_1003400	lysine decarboxylase, putative	PBANKA-1003400	PBANKA_1003400 - lysine decarboxylase, putative	PbANKA_10_v3	208170	214958	-	lysine decarboxylase, putative - PBANKA_1003400
PBANKA_1363200	ubiquitin-activating enzyme E1, putative	PBANKA-1363200	PBANKA_1363200 - ubiquitin-activating enzyme E1, putative	PbANKA_13_v3	2401779	2403488	+	ubiquitin-activating enzyme E1, putative - PBANKA_1363200
PBANKA_0606700	cysteine repeat modular protein 3	PBANKA-0606700	PBANKA_0606700 - cysteine repeat modular protein 3	PbANKA_06_v3	326737	337411	+	cysteine repeat modular protein 3 - PBANKA_0606700
PBANKA_0204700	mitochondrial carrier protein, putative	PBANKA-0204700	PBANKA_0204700 - mitochondrial carrier protein, putative	PbANKA_02_v3	158791	161234	-	mitochondrial carrier protein, putative - PBANKA_0204700
PBANKA_1116800	conserved protein, unknown function	PBANKA-1116800	PBANKA_1116800 - conserved protein, unknown function	PbANKA_11_v3	636950	638728	+	conserved protein, unknown function - PBANKA_1116800
PBANKA_1334800	conserved Plasmodium protein, unknown function	PBANKA-1334800	PBANKA_1334800 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	1390977	1394522	+	conserved Plasmodium protein, unknown function - PBANKA_1334800
PBANKA_1460500	serine/threonine protein kinase, putative	PBANKA-1460500	PBANKA_1460500 - serine/threonine protein kinase, putative	PbANKA_14_v3	2301974	2304106	+	serine/threonine protein kinase, putative - PBANKA_1460500
PBANKA_0106300	conserved Plasmodium protein, unknown function	PBANKA-0106300	PBANKA_0106300 - conserved Plasmodium protein, unknown function	PbANKA_01_v3	258200	264727	+	conserved Plasmodium protein, unknown function - PBANKA_0106300
PBANKA_0812500	conserved Plasmodium protein, unknown function	PBANKA-0812500	PBANKA_0812500 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	560890	564653	-	conserved Plasmodium protein, unknown function - PBANKA_0812500
PBANKA_1217100	protein kinase, putative	PBANKA-1217100	PBANKA_1217100 - protein kinase, putative	PbANKA_12_v3	653986	655393	-	protein kinase, putative - PBANKA_1217100
PBANKA_0910700	conserved Plasmodium protein, unknown function	PBANKA-0910700	PBANKA_0910700 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	399878	407749	-	conserved Plasmodium protein, unknown function - PBANKA_0910700
PBANKA_1242100	methionine aminopeptidase 1a, putative	PBANKA-1242100	PBANKA_1242100 - methionine aminopeptidase 1a, putative	PbANKA_12_v3	1596025	1597932	-	methionine aminopeptidase 1a, putative - PBANKA_1242100
PBANKA_1333200	autophagy-related protein 12, putative	PBANKA-1333200	PBANKA_1333200 - autophagy-related protein 12, putative	PbANKA_13_v3	1341074	1341953	-	autophagy-related protein 12, putative - PBANKA_1333200
PBANKA_1032900	conserved Plasmodium protein, unknown function	PBANKA-1032900	PBANKA_1032900 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	1332904	1334430	-	conserved Plasmodium protein, unknown function - PBANKA_1032900
PBANKA_1407800	U4/U6 small nuclear ribonucleoprotein PRP3, putative	PBANKA-1407800	PBANKA_1407800 - U4/U6 small nuclear ribonucleoprotein PRP3, putative	PbANKA_14_v3	365954	367993	-	U4/U6 small nuclear ribonucleoprotein PRP3, putative - PBANKA_1407800
PBANKA_1005600	conserved Plasmodium protein, unknown function	PBANKA-1005600	PBANKA_1005600 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	288580	289095	-	conserved Plasmodium protein, unknown function - PBANKA_1005600
PBANKA_1244100	heptatricopeptide repeat-containing protein, putative	PBANKA-1244100	PBANKA_1244100 - heptatricopeptide repeat-containing protein, putative	PbANKA_12_v3	1657537	1660428	-	heptatricopeptide repeat-containing protein, putative - PBANKA_1244100
PBANKA_1112400	orotate phosphoribosyltransferase, putative	PBANKA-1112400	PBANKA_1112400 - orotate phosphoribosyltransferase, putative	PbANKA_11_v3	492918	493679	-	orotate phosphoribosyltransferase, putative - PBANKA_1112400
PBANKA_1128600	cullin-like protein, putative	PBANKA-1128600	PBANKA_1128600 - cullin-like protein, putative	PbANKA_11_v3	1084628	1088004	-	cullin-like protein, putative - PBANKA_1128600
PBANKA_0415700	autophagy-related protein 3, putative	PBANKA-0415700	PBANKA_0415700 - autophagy-related protein 3, putative	PbANKA_04_v3	562277	564679	+	autophagy-related protein 3, putative - PBANKA_0415700
PBANKA_1012100	HP12 protein homolog, putative	PBANKA-1012100	PBANKA_1012100 - HP12 protein homolog, putative	PbANKA_10_v3	559590	561518	+	HP12 protein homolog, putative - PBANKA_1012100
PBANKA_API00310	apicoplast ribosomal protein L36	PBANKA-API00310	PBANKA_API00310 - apicoplast ribosomal protein L36	PbANKA_API_v3	27105	27215	-	apicoplast ribosomal protein L36 - PBANKA_API00310
PBANKA_1023600	conserved Plasmodium protein, unknown function	PBANKA-1023600	PBANKA_1023600 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	941325	944484	+	conserved Plasmodium protein, unknown function - PBANKA_1023600
PBANKA_0316400	PIR protein, pseudogene	PBANKA-0316400	PBANKA_0316400 - PIR protein, pseudogene	PbANKA_03_v3	565120	566413	+	PIR protein, pseudogene - PBANKA_0316400
PBANKA_1465300	PIR protein, pseudogene	PBANKA-1465300	PBANKA_1465300 - PIR protein, pseudogene	PbANKA_14_v3	2473518	2474673	+	PIR protein, pseudogene - PBANKA_1465300
PBANKA_1364900	U3 small nucleolar RNA-associated protein 15, putative	PBANKA-1364900	PBANKA_1364900 - U3 small nucleolar RNA-associated protein 15, putative	PbANKA_13_v3	2460632	2462935	+	U3 small nucleolar RNA-associated protein 15, putative - PBANKA_1364900
PBANKA_0917990	small nucleolar RNA snoR13	PBANKA-0917990	PBANKA_0917990 - small nucleolar RNA snoR13	PbANKA_09_v3	675988	676082	-	small nucleolar RNA snoR13 - PBANKA_0917990
PBANKA_0909400	conserved Plasmodium protein, unknown function	PBANKA-0909400	PBANKA_0909400 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	326383	328167	-	conserved Plasmodium protein, unknown function - PBANKA_0909400
PBANKA_0814800	conserved Plasmodium protein, unknown function	PBANKA-0814800	PBANKA_0814800 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	625706	626154	+	conserved Plasmodium protein, unknown function - PBANKA_0814800
PBANKA_1360700	conserved Plasmodium protein, unknown function	PBANKA-1360700	PBANKA_1360700 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	2309220	2314892	-	conserved Plasmodium protein, unknown function - PBANKA_1360700
PBANKA_1008700	conserved Plasmodium protein, unknown function	PBANKA-1008700	PBANKA_1008700 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	399521	404761	-	conserved Plasmodium protein, unknown function - PBANKA_1008700
PBANKA_0703500	conserved Plasmodium protein, unknown function	PBANKA-0703500	PBANKA_0703500 - conserved Plasmodium protein, unknown function	PbANKA_07_v3	167639	170701	-	conserved Plasmodium protein, unknown function - PBANKA_0703500
PBANKA_1033600	tRNA-dihydrouridine synthase, putative	PBANKA-1033600	PBANKA_1033600 - tRNA-dihydrouridine synthase, putative	PbANKA_10_v3	1356459	1357475	+	tRNA-dihydrouridine synthase, putative - PBANKA_1033600
PBANKA_0832600	proteasome subunit beta type-6, putative	PBANKA-0832600	PBANKA_0832600 - proteasome subunit beta type-6, putative	PbANKA_08_v3	1233915	1234742	-	proteasome subunit beta type-6, putative - PBANKA_0832600
PBANKA_1303800	triosephosphate isomerase, putative	PBANKA-1303800	PBANKA_1303800 - triosephosphate isomerase, putative	PbANKA_13_v3	211752	212896	+	triosephosphate isomerase, putative - PBANKA_1303800
PBANKA_0108100	conserved Plasmodium protein, unknown function	PBANKA-0108100	PBANKA_0108100 - conserved Plasmodium protein, unknown function	PbANKA_01_v3	330792	335330	+	conserved Plasmodium protein, unknown function - PBANKA_0108100
PBANKA_0202300	UMP-CMP kinase, putative	PBANKA-0202300	PBANKA_0202300 - UMP-CMP kinase, putative	PbANKA_02_v3	92992	94572	+	UMP-CMP kinase, putative - PBANKA_0202300
PBANKA_1353500	exosome complex component RRP42, putative	PBANKA-1353500	PBANKA_1353500 - exosome complex component RRP42, putative	PbANKA_13_v3	2031097	2031942	-	exosome complex component RRP42, putative - PBANKA_1353500
PBANKA_1462100	conserved Plasmodium protein, unknown function	PBANKA-1462100	PBANKA_1462100 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	2345306	2345761	+	conserved Plasmodium protein, unknown function - PBANKA_1462100
PBANKA_1424400	CS domain protein, putative	PBANKA-1424400	PBANKA_1424400 - CS domain protein, putative	PbANKA_14_v3	938180	939448	+	CS domain protein, putative - PBANKA_1424400
PBANKA_1425000	RNA-binding protein, putative	PBANKA-1425000	PBANKA_1425000 - RNA-binding protein, putative	PbANKA_14_v3	955332	957863	+	RNA-binding protein, putative - PBANKA_1425000
PBANKA_0519800	acetyl-CoA transporter, putative	PBANKA-0519800	PBANKA_0519800 - acetyl-CoA transporter, putative	PbANKA_05_v3	710549	713590	-	acetyl-CoA transporter, putative - PBANKA_0519800
PBANKA_0806600	cleavage and polyadenylation specificity factor, putative	PBANKA-0806600	PBANKA_0806600 - cleavage and polyadenylation specificity factor, putative	PbANKA_08_v3	310793	313696	+	cleavage and polyadenylation specificity factor, putative - PBANKA_0806600
PBANKA_0803200	inositol-phosphate phosphatase, putative	PBANKA-0803200	PBANKA_0803200 - inositol-phosphate phosphatase, putative	PbANKA_08_v3	177331	184960	-	inositol-phosphate phosphatase, putative - PBANKA_0803200
PBANKA_0908200	conserved Plasmodium protein, unknown function	PBANKA-0908200	PBANKA_0908200 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	279180	281282	-	conserved Plasmodium protein, unknown function - PBANKA_0908200
PBANKA_1214300	enolase, putative	PBANKA-1214300	PBANKA_1214300 - enolase, putative	PbANKA_12_v3	544052	545611	+	enolase, putative - PBANKA_1214300
PBANKA_1221700	conserved protein, unknown function	PBANKA-1221700	PBANKA_1221700 - conserved protein, unknown function	PbANKA_12_v3	832421	832939	-	conserved protein, unknown function - PBANKA_1221700
PBANKA_0411800	vesicle transport v-SNARE protein, putative	PBANKA-0411800	PBANKA_0411800 - vesicle transport v-SNARE protein, putative	PbANKA_04_v3	420745	422336	-	vesicle transport v-SNARE protein, putative - PBANKA_0411800
PBANKA_1458500	NEDD8-conjugating enzyme UBC12, putative	PBANKA-1458500	PBANKA_1458500 - NEDD8-conjugating enzyme UBC12, putative	PbANKA_14_v3	2242555	2243315	+	NEDD8-conjugating enzyme UBC12, putative - PBANKA_1458500
PBANKA_0705400	translation initiation factor IF-3, putative	PBANKA-0705400	PBANKA_0705400 - translation initiation factor IF-3, putative	PbANKA_07_v3	244414	245233	-	translation initiation factor IF-3, putative - PBANKA_0705400
PBANKA_1466201	PIR protein	PBANKA-1466201	PBANKA_1466201 - PIR protein	PbANKA_14_v3	2539854	2541946	+	PIR protein - PBANKA_1466201
PBANKA_0602600	cytochrome c1 heme lyase	PBANKA-0602600	PBANKA_0602600 - cytochrome c1 heme lyase	PbANKA_06_v3	170295	171074	+	cytochrome c1 heme lyase - PBANKA_0602600
PBANKA_0934900	conserved Plasmodium protein, unknown function	PBANKA-0934900	PBANKA_0934900 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	1272651	1276443	-	conserved Plasmodium protein, unknown function - PBANKA_0934900
PBANKA_1213000	transcriptional coactivator ADA2, putative	PBANKA-1213000	PBANKA_1213000 - transcriptional coactivator ADA2, putative	PbANKA_12_v3	493850	500998	-	transcriptional coactivator ADA2, putative - PBANKA_1213000
PBANKA_0802500	protein phosphatase PPM12, putative	PBANKA-0802500	PBANKA_0802500 - protein phosphatase PPM12, putative	PbANKA_08_v3	148565	151987	-	protein phosphatase PPM12, putative - PBANKA_0802500
PBANKA_0938900	IWS1-like protein, putative	PBANKA-0938900	PBANKA_0938900 - IWS1-like protein, putative	PbANKA_09_v3	1393158	1394702	-	IWS1-like protein, putative - PBANKA_0938900
PBANKA_0918100	60S ribosomal protein L38, putative	PBANKA-0918100	PBANKA_0918100 - 60S ribosomal protein L38, putative	PbANKA_09_v3	679335	679580	+	60S ribosomal protein L38, putative - PBANKA_0918100
PBANKA_1138200	RuvB-like helicase 3, putative	PBANKA-1138200	PBANKA_1138200 - RuvB-like helicase 3, putative	PbANKA_11_v3	1444288	1445715	-	RuvB-like helicase 3, putative - PBANKA_1138200
PBANKA_1459600	methyltransferase, putative	PBANKA-1459600	PBANKA_1459600 - methyltransferase, putative	PbANKA_14_v3	2278821	2280407	-	methyltransferase, putative - PBANKA_1459600
PBANKA_1412000	conserved protein, unknown function	PBANKA-1412000	PBANKA_1412000 - conserved protein, unknown function	PbANKA_14_v3	502680	508490	-	conserved protein, unknown function - PBANKA_1412000
PBANKA_1125800	conserved Plasmodium protein, unknown function	PBANKA-1125800	PBANKA_1125800 - conserved Plasmodium protein, unknown function	PbANKA_11_v3	946250	946585	-	conserved Plasmodium protein, unknown function - PBANKA_1125800
PBANKA_1354000	RNA lariat debranching enzyme, putative	PBANKA-1354000	PBANKA_1354000 - RNA lariat debranching enzyme, putative	PbANKA_13_v3	2044110	2045477	-	RNA lariat debranching enzyme, putative - PBANKA_1354000
PBANKA_1355200	aconitate hydratase, putative	PBANKA-1355200	PBANKA_1355200 - aconitate hydratase, putative	PbANKA_13_v3	2080247	2082991	+	aconitate hydratase, putative - PBANKA_1355200
PBANKA_0316000	replication factor C subunit 1, putative	PBANKA-0316000	PBANKA_0316000 - replication factor C subunit 1, putative	PbANKA_03_v3	546414	548999	-	replication factor C subunit 1, putative - PBANKA_0316000
PBANKA_0204100	N-acetyltransferase, GNAT family, putative	PBANKA-0204100	PBANKA_0204100 - N-acetyltransferase, GNAT family, putative	PbANKA_02_v3	145808	146458	+	N-acetyltransferase, GNAT family, putative - PBANKA_0204100
PBANKA_0008201	PIR protein	PBANKA-0008201	PBANKA_0008201 - PIR protein	PbANKA_00_v3_archived_contig_3	21666	22876	+	PIR protein - PBANKA_0008201
PBANKA_0827800	HSP90 co-chaperone p23, putative	PBANKA-0827800	PBANKA_0827800 - HSP90 co-chaperone p23, putative	PbANKA_08_v3	1078132	1078768	+	HSP90 co-chaperone p23, putative - PBANKA_0827800
PBANKA_1118900	conserved protein, unknown function	PBANKA-1118900	PBANKA_1118900 - conserved protein, unknown function	PbANKA_11_v3	714651	716638	-	conserved protein, unknown function - PBANKA_1118900
PBANKA_1309700	ATP-dependent RNA helicase DDX5, putative	PBANKA-1309700	PBANKA_1309700 - ATP-dependent RNA helicase DDX5, putative	PbANKA_13_v3	452746	455713	+	ATP-dependent RNA helicase DDX5, putative - PBANKA_1309700
PBANKA_1018100	ABC transporter G family member 2, putative	PBANKA-1018100	PBANKA_1018100 - ABC transporter G family member 2, putative	PbANKA_10_v3	772594	774564	+	ABC transporter G family member 2, putative - PBANKA_1018100
PBANKA_1439700	conserved protein, unknown function	PBANKA-1439700	PBANKA_1439700 - conserved protein, unknown function	PbANKA_14_v3	1505369	1506322	+	conserved protein, unknown function - PBANKA_1439700
PBANKA_1337800	palmitoyltransferase DHHC5	PBANKA-1337800	PBANKA_1337800 - palmitoyltransferase DHHC5	PbANKA_13_v3	1496617	1499398	+	palmitoyltransferase DHHC5 - PBANKA_1337800
PBANKA_1114200	ribose-5-phosphate isomerase, putative	PBANKA-1114200	PBANKA_1114200 - ribose-5-phosphate isomerase, putative	PbANKA_11_v3	544842	546132	-	ribose-5-phosphate isomerase, putative - PBANKA_1114200
PBANKA_1435100	ribulose-phosphate 3-epimerase, putative	PBANKA-1435100	PBANKA_1435100 - ribulose-phosphate 3-epimerase, putative	PbANKA_14_v3	1320270	1320953	+	ribulose-phosphate 3-epimerase, putative - PBANKA_1435100
PBANKA_1118200	conserved protein, unknown function	PBANKA-1118200	PBANKA_1118200 - conserved protein, unknown function	PbANKA_11_v3	677942	683808	-	conserved protein, unknown function - PBANKA_1118200
PBANKA_1246600	cleft-like protein 1	PBANKA-1246600	PBANKA_1246600 - cleft-like protein 1	PbANKA_12_v3	1782188	1783118	+	cleft-like protein 1 - PBANKA_1246600
PBANKA_0611700	conserved protein, unknown function	PBANKA-0611700	PBANKA_0611700 - conserved protein, unknown function	PbANKA_06_v3	513312	514016	-	conserved protein, unknown function - PBANKA_0611700
PBANKA_1341900	conserved Apicomplexan protein, unknown function	PBANKA-1341900	PBANKA_1341900 - conserved Apicomplexan protein, unknown function	PbANKA_13_v3	1653006	1654523	+	conserved Apicomplexan protein, unknown function - PBANKA_1341900
PBANKA_1109000	RNA polymerase I, putative	PBANKA-1109000	PBANKA_1109000 - RNA polymerase I, putative	PbANKA_11_v3	349481	357436	-	RNA polymerase I, putative - PBANKA_1109000
